IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.128.131,80,80,false,HKG,Asia Pacific,Hong Kong,0,6.93
8.219.134.117,2096,2096,true,SIN,Asia Pacific,Singapore,108,6.90
47.236.144.208,8443,8443,true,SIN,Asia Pacific,Singapore,102,6.85
47.236.4.129,2053,2053,true,SIN,Asia Pacific,Singapore,107,6.79
8.219.83.201,2086,2086,false,SIN,Asia Pacific,Singapore,98,6.69
8.222.215.228,2082,2082,false,SIN,Asia Pacific,Singapore,98,6.67
8.222.129.245,2087,2087,true,SIN,Asia Pacific,Singapore,94,6.66
8.222.212.116,2083,2083,true,SIN,Asia Pacific,Singapore,105,6.66
47.236.5.223,2087,2087,true,SIN,Asia Pacific,Singapore,107,6.65
47.236.170.54,2083,2083,true,SIN,Asia Pacific,Singapore,91,6.65
34.36.226.184,80,80,false,HKG,Asia Pacific,Hong Kong,0,6.60
47.236.94.113,2082,2082,false,SIN,Asia Pacific,Singapore,93,6.60
8.222.168.155,80,80,false,HKG,Asia Pacific,Hong Kong,1,6.52
8.219.210.64,80,80,false,HKG,Asia Pacific,Hong Kong,2,6.47
47.236.15.73,8080,8080,false,SIN,Asia Pacific,Singapore,96,6.42
47.236.144.208,80,80,false,HKG,Asia Pacific,Hong Kong,1,6.35
8.219.210.64,80,80,false,HKG,Asia Pacific,Hong Kong,0,6.30
8.222.129.32,8443,8443,true,SIN,Asia Pacific,Singapore,124,6.30
47.236.7.246,2087,2087,true,SIN,Asia Pacific,Singapore,97,6.25
47.236.165.25,2052,2052,false,SIN,Asia Pacific,Singapore,95,6.23
47.236.172.41,8880,8880,false,SIN,Asia Pacific,Singapore,101,6.20
8.222.190.225,80,80,false,HKG,Asia Pacific,Hong Kong,1,6.17
8.222.133.247,2095,2095,false,SIN,Asia Pacific,Singapore,99,6.15
8.219.90.32,2082,2082,false,SIN,Asia Pacific,Singapore,98,6.11
47.236.144.48,2086,2086,false,SIN,Asia Pacific,Singapore,95,6.09
47.236.65.177,8443,8443,true,SIN,Asia Pacific,Singapore,95,6.06
8.222.146.222,80,80,false,HKG,Asia Pacific,Hong Kong,7,6.03
47.236.96.141,8880,8880,false,SIN,Asia Pacific,Singapore,106,6.02
8.219.174.213,80,80,false,HKG,Asia Pacific,Hong Kong,2,5.99
47.236.116.182,2083,2083,true,SIN,Asia Pacific,Singapore,101,5.99
47.236.164.215,443,443,true,HKG,Asia Pacific,Hong Kong,0,5.95
47.236.121.23,8443,8443,true,SIN,Asia Pacific,Singapore,94,5.91
8.219.98.13,2053,2053,true,SIN,Asia Pacific,Singapore,128,5.91
8.219.222.98,2053,2053,true,SIN,Asia Pacific,Singapore,98,5.86
34.36.175.183,80,80,false,HKG,Asia Pacific,Hong Kong,1,5.76
8.222.153.11,2082,2082,false,SIN,Asia Pacific,Singapore,174,5.74
47.236.184.14,2096,2096,true,SIN,Asia Pacific,Singapore,105,5.74
8.222.180.86,2086,2086,false,SIN,Asia Pacific,Singapore,136,5.71
8.222.219.34,80,80,false,HKG,Asia Pacific,Hong Kong,0,5.63
8.222.146.222,2095,2095,false,SIN,Asia Pacific,Singapore,101,5.61
8.222.131.102,80,80,false,HKG,Asia Pacific,Hong Kong,0,5.55
47.236.144.196,8080,8080,false,SIN,Asia Pacific,Singapore,92,5.47
47.236.97.90,2052,2052,false,SIN,Asia Pacific,Singapore,109,5.43
47.236.169.236,2095,2095,false,SIN,Asia Pacific,Singapore,94,5.40
8.219.253.18,2053,2053,true,SIN,Asia Pacific,Singapore,90,5.39
8.222.136.247,2052,2052,false,SIN,Asia Pacific,Singapore,97,5.37
47.236.170.54,2087,2087,true,SIN,Asia Pacific,Singapore,91,5.36
47.236.79.77,2096,2096,true,SIN,Asia Pacific,Singapore,88,5.34
8.222.167.147,2083,2083,true,SIN,Asia Pacific,Singapore,135,5.28
47.236.114.23,2052,2052,false,SIN,Asia Pacific,Singapore,93,5.27
47.236.167.231,8880,8880,false,SIN,Asia Pacific,Singapore,100,5.27
47.236.87.246,8443,8443,true,SIN,Asia Pacific,Singapore,96,5.27
8.222.159.252,80,80,false,HKG,Asia Pacific,Hong Kong,0,5.26
8.222.136.247,2086,2086,false,SIN,Asia Pacific,Singapore,97,5.24
47.236.104.11,80,80,false,HKG,Asia Pacific,Hong Kong,1,5.24
47.236.116.182,2086,2086,false,SIN,Asia Pacific,Singapore,101,5.23
8.222.134.170,2095,2095,false,SIN,Asia Pacific,Singapore,94,5.19
8.222.145.110,8880,8880,false,SIN,Asia Pacific,Singapore,87,5.13
8.222.211.124,8880,8880,false,SIN,Asia Pacific,Singapore,93,5.05
47.236.93.176,8443,8443,true,SIN,Asia Pacific,Singapore,150,5.03
8.222.128.131,80,80,false,HKG,Asia Pacific,Hong Kong,0,5.03
8.219.191.40,2087,2087,true,SIN,Asia Pacific,Singapore,95,5.01
8.222.144.219,2082,2082,false,SIN,Asia Pacific,Singapore,98,5.00
8.222.150.197,2095,2095,false,SIN,Asia Pacific,Singapore,105,4.93
8.222.187.4,80,80,false,HKG,Asia Pacific,Hong Kong,1,4.89
47.236.147.146,2083,2083,true,SIN,Asia Pacific,Singapore,96,4.86
8.219.173.239,2083,2083,true,SIN,Asia Pacific,Singapore,93,4.85
8.219.253.18,80,80,false,HKG,Asia Pacific,Hong Kong,9,4.85
47.236.87.206,443,443,true,HKG,Asia Pacific,Hong Kong,0,4.75
8.219.99.169,8880,8880,false,SIN,Asia Pacific,Singapore,151,4.74
8.222.130.137,8443,8443,true,SIN,Asia Pacific,Singapore,91,4.72
47.236.121.23,2096,2096,true,SIN,Asia Pacific,Singapore,140,4.65
8.219.206.180,80,80,false,HKG,Asia Pacific,Hong Kong,0,4.65
47.236.169.15,2095,2095,false,SIN,Asia Pacific,Singapore,102,4.63
8.222.150.197,8080,8080,false,SIN,Asia Pacific,Singapore,94,4.62
8.222.137.178,8880,8880,false,SIN,Asia Pacific,Singapore,99,4.61
8.219.134.117,2052,2052,false,SIN,Asia Pacific,Singapore,93,4.61
8.219.175.127,2082,2082,false,SIN,Asia Pacific,Singapore,95,4.59
8.222.133.247,80,80,false,HKG,Asia Pacific,Hong Kong,0,4.58
8.222.145.110,8080,8080,false,SIN,Asia Pacific,Singapore,96,4.56
47.236.170.54,2096,2096,true,SIN,Asia Pacific,Singapore,89,4.55
34.149.84.129,80,80,false,HKG,Asia Pacific,Hong Kong,2,4.53
8.219.101.138,2083,2083,true,SIN,Asia Pacific,Singapore,113,4.45
47.236.163.95,2096,2096,true,SIN,Asia Pacific,Singapore,100,4.45
47.236.123.133,80,80,false,HKG,Asia Pacific,Hong Kong,1,4.44
8.219.43.243,8880,8880,false,SIN,Asia Pacific,Singapore,100,4.42
8.219.43.243,2052,2052,false,SIN,Asia Pacific,Singapore,103,4.40
8.219.206.180,443,443,true,HKG,Asia Pacific,Hong Kong,0,4.39
8.222.249.190,2087,2087,true,SIN,Asia Pacific,Singapore,93,4.36
8.219.65.191,2053,2053,true,SIN,Asia Pacific,Singapore,99,4.36
8.222.193.65,2052,2052,false,SIN,Asia Pacific,Singapore,97,4.36
47.236.5.223,8880,8880,false,SIN,Asia Pacific,Singapore,105,4.35
8.222.137.178,2052,2052,false,SIN,Asia Pacific,Singapore,97,4.35
8.219.101.138,2053,2053,true,SIN,Asia Pacific,Singapore,115,4.35
